Year,NSW,QLD,WA
2020,"8,094,300","5,184,329","2,728,187"
2021,"8,117,057","5,249,672","2,763,240"
2022,"8,264,048","5,376,678","2,839,523"
2023,"8,437,334","5,516,476","2,937,647"
2024,"8,536,474","5,619,962","3,011,063"
2025,"8,641,085","5,712,124","3,076,528"
